frame,track_id,x_center,y_center
2,1,469.266,872.5613
3,1,477.54193,852.914
4,1,484.9427,844.81775
5,1,487.558,834.7593
6,1,492.6579,830.3189
7,1,494.27075,828.05695
8,1,494.39166,833.0426
9,1,494.64886,849.6365
10,1,494.4099,848.76636
11,1,492.46606,855.66473
12,1,491.68896,861.37854
13,1,490.13794,853.1591
14,1,485.8208,851.08923
15,1,481.95963,847.60626
16,1,478.3089,842.7902
17,1,474.1911,840.6135
18,1,468.55527,840.4901
19,1,462.73346,837.6783
20,1,455.8139,834.40466
21,1,453.78088,838.6162
22,1,453.03986,843.51587
23,1,451.67264,847.2382
24,1,451.3033,846.4951
25,1,450.87366,842.91486
26,1,449.84186,841.42236
27,1,449.21243,847.6772
28,1,447.49072,842.5532
29,1,444.6794,837.02435
30,1,442.87485,834.1654
31,1,438.7032,838.38257
32,1,435.42487,845.6705
33,1,429.39203,852.46533
34,1,419.39337,854.0014
35,1,407.8502,861.02435
36,1,398.72482,869.80994
37,1,388.52945,859.86365
38,1,376.2981,878.7487
39,1,364.70325,873.12036
40,1,351.07715,861.8999
41,1,341.73892,880.0333
42,1,328.47433,882.1616
43,1,319.06564,883.0775
44,1,309.1345,879.3322
45,1,305.5628,875.5556
46,1,305.61328,866.2307
47,1,307.11795,870.0143
48,1,304.2073,879.54144
49,1,300.43414,882.2443
50,1,294.47855,878.5502
51,1,290.2617,883.3328
52,1,285.65546,892.3256
53,1,282.38177,900.30286
54,1,280.75427,911.11847
55,1,282.70297,915.04333
56,1,285.8607,918.218
57,1,280.472,918.6909
58,1,275.56,921.8979
59,1,274.5347,908.58673
60,1,271.2644,892.99207
61,1,268.08563,884.6078
62,1,267.9911,876.88043
63,1,268.55484,889.85297
64,1,268.77377,890.0363
65,1,272.0349,872.5193
66,1,278.3567,881.0123
67,1,286.354,887.568
68,1,294.9706,877.60944
69,1,302.90192,870.0886
70,1,309.26538,865.8761
71,1,318.05908,864.2137
72,1,327.78632,842.102
73,1,332.33722,838.23126
74,1,338.97153,828.3829
75,1,345.21417,838.8671
76,1,350.02448,830.5803
77,1,357.79742,825.2038
78,1,366.98764,826.17725
78,3,32.868904,1163.1357
79,1,378.90512,811.755
79,3,38.80258,1133.9282
80,1,390.54456,811.8327
81,1,401.28748,807.1089
82,1,414.57428,803.98047
82,3,56.897602,1052.7793
83,1,422.75577,798.1166
83,3,65.80196,1042.4093
84,1,435.64044,803.8705
84,3,71.86388,1040.1038
85,1,448.06815,791.6405
85,3,77.835785,1026.3828
86,1,460.78708,781.22205
86,3,86.99835,1014.708
87,1,479.8676,775.0137
87,3,97.66253,998.17444
88,1,505.50232,763.9077
88,3,108.26778,987.0146
89,1,527.1931,741.3206
